question,wrong_choices,correct_answer
"The feature of Word that automatically adjusts the amount of space between certain combination of characters so that an entire word looks more evenly spaceWhat is that feature called?","Spacing, Positioning, Scaling","Kerning"
"Shimmer, Sparkle text, Blinking Background etare known as_________?","Word art, Font styles, Font effects","Text effects"
"What are inserted as cross-reference in Word?","Placeholders, Bookmarks, Objects","Word fields"
"Which of the following are word processing software?","WordPerfect, Wordpad, MS Word","All of above"
"When was MS Windows operating system introduced?","1975, 1990, 2000","1985"
"The Speed of CPU is measured in_______?","megahertz, gigahertz, None of these","Both A & B"
"The keys on the top of keyboard as F1, F2………F12 are called_________?","Enter keys, Lock keys, Insert keys","Function keys"
"The output received on the display screen or in the audio or video form is called________?","Hard Copy, Light copy, None of these","Soft Copy"
"All the output which is Printed on a paper is called_________?","Soft Copy, Both A & B, None of these","Hard Copy"
"Keyboard used with personal Computer have___________keys?","84 to 85 keys, both a & b, none of these","101 to 105 keys"
"to preview a motion path effect using the custom animation task pane, you should","click the show effect button, double click the motion path, all of above","click the play button"
"In MS PowerPoint if you want to edit a chart, you can:","Triple click the chart object, Click and drag the chart object, Click the chart object","Double click the chart object"
"If you have a PowerPoint show you created and want to send using email to another teacher you can add the show to your email message as a (an)____________?","Inclusion, Reply, Forward","Attachment"
"in the context of animations, what is a trigger in Microsoft PowerPoint?","An action button that advances to the next slide, The name of a motion path, All of above","An item on the slide that performs an action when clicked"
"Which of the following should you use if you want all the slide in the presentation to have the same “look” in Microsoft PowerPoint?","the slide layout option, add a slide option, outline view","a presentation design template"
"What is a Slide-title master pair in Microsoft PowerPoint?","The title area and text area of a specific slide, A slide master and title master merged into a single slide, All of above","A slide master and title master for a specific design template"
"What is a motion path in Microsoft PowerPoint","A type of animation entrance effect, A method of advancing slides, All of the above","A method of moving items on a slide"
"In Microsoft PowerPoint Material consisting of text and numbers is best presented as:","bullet slide, title slide, All of the above","table slide"
"In Microsoft PowerPoint two kind of sound effects files that can be added to the presentation are?",".wav files and .gif files, .wav files and .jpg files, .jpg files and .gif files",".wav files and .mid files"
"The________is firmware that contain a computer’s startup instruction.","POST, CMOS, DIOS","BIOS"
"A(n)___________system is a set of Programs containing instructions that coordinate all the activities among computer hardware resources?","Disk- Based, Management, Plateform","Operating"
"__________is a process of encoding data and information into an unreadable form?","Formatting, Transmission, Spooling","Encryption"
"8 Bits make up a_________?","Megabyte, Kilobyte, None","Byte"
"When you press the _____ key by itself, it opens and closes the Start menu?","Ctrl, Shift, Alt E. None","Window"
"Window key + Shift + M","Minimize all applications, Utility Manager, Show system properties","Un-Minimize all applications"
"Window key + Ctrl + F","Find files or folders, Show Desktop (toggle), Run","Find Computers"
"Window key + L","Windows Explorer, Help, Show Desktop (toggle)","Lock Desktop"
"Window key + F","Show system properties, Find Computers, Run","Find files or folders"
"Window key + D","Show system properties, Find Computers, Lock Desktop","Show Desktop (toggle)"
"Window key + E","Utility Manager, Show Desktop (toggle), Run","Windows Explorer"
"Window key + M","Show system properties, Help, Find Computers","Minimize all applications"
"Window key + U","Show system properties, Show Desktop (toggle), Lock Desktop","Utility Manager"
"Which key is between the Ctrl and Alt keys?","Shift, Enter, Space bar","Window"
"Window key + F1","show system properties, Show Desktop (toggle), Run","Help"
"ALU stands for ________?","Arithmetic Longest Unit, Arithmetic Longest United, None of these","Arithmetic Logic Unit"
"PNG stands for ________?","Portable Network Group, Project Network Graphics, Plain Network Graphics","Portable Network Graphic"
"DSL stands for ________?","Disc Super Line, Digital Super Line, Disc Subscriber Line","Digital Subscriber Line"
"GIF stands for ________?","Graphic Interchangeable File, Graphic Internet File, Graphic Internet Format","Graphic Interchangeable Format"
"ACL stands for ___________?","Access Central List, Access Check List, Adoptic Control List","Access Control List"
"DHCP stands for _________?","Dynamic Host Control Protocol, Digital Host Configuration Protocol, Digital Host Control Protocol","Dynamic Host Configuration Protocol"
"WMA stands for _________?","Windows Medium Audio, Windows Media Video, Windows Medium Video","Windows Media Audio"
