question,wrong_choice,correct_answer
Who laid down the foundation of Mohmand Hydro power Project Dam?,"B. Ex( CJ ) Saqib Nisar
C. President Arif Alvi
D. Omer Ayub Khan",A. PM Imran Khan
The Rank of Pakistan in 2019 Global Talent Competitiveness Index (GTCI) is _______ out of 125 Countries?,"A. 101

C. 118
D. None of these",B. 108
Pakistan and ___________signed the second phase of the Free Trade Agreement (FTA) after which Pakistan will get duty-free access in markets.,"B. UAE
C. Saudi Arabia
D. Malaysia",A. China
"Pakistan announces 1000 “Allama Iqbal Scholarships” for which Country students on 29th April, 2019.","A. New Zealand
B. Bangladesh

D. China",C. Sri Lanka
"Pakistan and China have signed an agreement for __________railway track on 28th April, 2019.","A. Pak-China Express Train

C. MS-5
D. PC-1",B. ML-1
Which tobacco company has presented RS 5 million Cheque to PM Imran Khan for Dam Fund?,"A. Pakistan Tobacco Company Limited
B. General Tobacco Company

D. Khyber Tobacco Company Limited",C. British American Tobacco
Rahat Fateh Ali Khan was awarded an honorary degree by Oxford university on ___________?,"A. June 24 2018

C. June 28 2019
D. June 30 2019",B. June 26 2019
Which of the following opening pair has the record of highest 1st wicket partnership in ODI cricket?,"A. Tharanga & Jayasuriya
B. Imam-ul-haq & Fakhar Zaman
C. David Warner & Tim head",D. JD Campbell & SD Hope
What is the Pakistan’s rank in the 2019 UN World Happiness Index?,"A. 65th
B. 66th

D. 70th",C. 67th
What is the total length of Abdul Hakeem-Lahore motorway?,"B. 550 KM
C. 180 KM
D. 365 KM",A. 230 KM
National Command Authority (NCA) is headed by____________?,"B. President
C. Army chief
D. Ministry For Defense",A. Prime Minister
Pakistan signed $500 million framework deal on 25-April-2019 with_______________?,"A. Saudi Arabia

C. China
D. Iran",B. South Korea
"Three-Day Urs of Sufi Saint, Lal Shahbaz Qalandar, at his shrine in Sehwan Sharif was celebrated in April 2019, it was his _____ Urs.","A. 750th

C. 770th
D. 775th",B. 767th
Which Hockey Team arrived in Pakistan on 28th April 2019?,"A. Sri Lanka
B. Qatar

D. Kuwait",C. Uzbekistan
"P.M Imran Khan visited the Holy Shrine of _______, when he went on Two Days Historic visit to Iran on 21st April 2019?","A. Imam Ali Naqi
B. Imam Ali Taqi

D. Imam Musa Kazim",C. Imam Ali Raza
Who is the Current Chairman of PEMRA?,"A. Fayyaz-UL-Hassan
B. Fawad Chaudhry
C. Chaudhry Rashid Ahmad",D. Mirza Salim Baig
When did PM Imran Khan reach Iran for two days official visit?,"A. 18 April 2019
B. 19 April 2019
C. 20 April 2019",D. 21 April 2019
"What is Pakistan ranks globally in kidney diseases, say experts at the (SIUT) kidney diseases causing 20,000 deaths annually?","A. Fifth
B. Sixth
C. Seventh",D. Eighth
"Recently, the ______ Airways announced that it will be resuming flights to Pakistan from June 2019, after a 10-year break.","B. Jet
C. Gulf
D. None of these",A. British
Which two deadly viruses are reported in Pakistan in March 2019?,"A. Gemi and HIV
B. Zika and Small pox
C. Monkeypox and TMV",D. Zika and Monkeypox
Which country’s warplanes makes aerial display on Pakistan Day Parade on 23rd March 2019?,"A. Bahrain & Oman

C. Azerbaijan & Srilanka
D. None of these",B. Turkish & Chinies
Who was the guest of honour at Pakistan Day Parade on 23 March 2019?,"A. Recep Tayyip Erdo?an

C. Xi Jinping
D. Muhammad Bin Salman",B. Mahathir Bin Mohamad
Which country was the largest importer of the weapons in the world during 2014 to 2018 ___________?,"A. US
B. China
C. Russia",D. Saudi Arabia
How many foreigners among 127 were conferred civil awards on 23rd March 2019?,"A. 16
B. 17

D. None of these",C. 18
Which of the following Pakistani girl wins silver at 2019 Singapore weightlifting championship in March 2019?,"A. Neelam Riaz

C. Shazia Shehzad
D. None Of These",B. Rabia Shehzad
Which Country will host Asia cup 2020?,"A. UAE
B. INDIA

D. AUSTRALIA",C. PAKISTAN
Which team makes highest score (238) in PSL-4?,"A. Peshawar zalmi
B. Karachi kings

D. none of these",C. Islamabad united
How much loan World Bank has granted to Pakistan for building Khyber Pass Economic Corridor?,"B. US$410.6 Million
C. US$420.6 Million
D. US$440.6 Million",A. $460.6 Million
When American president Donald trump out India from GSP Scheme?,"A. 15 Feb 2019
B. 24 Feb 2019

D. 1st March 2019",C. 5 March 2019
Gojra Shorkot Section on National Motorway constructed at the cost of ______?,"A. $100 Million
B. $178 Million
C. 178 Million Pakistani Rupees",D. None of the Above
Gojra Shorkot Section Motorway is a _________?,"B. 6 Lane Motorway
C. 2 Lane Motorway
D. None of the above",A. 4 Lane Motorway
Gojra Shorkot section Motorway Project under CPEC is of how many Kilometers ?,"B. 81 Km
C. 91 Km
D. None of the Above",A. 61 Km
First “Adab Festival Pakistan” (AFP) 2019 held in which city of Pakistan in Feb 2019?,"A. Lahore

C. Islamabad
D. None of the Above",B. Karachi
"Who is the Peshawar-born youngest boy to Win the Storm-2 Abdel Wahed squash Open 2019 tournament recently, held at Sweden in February 2019?","A. Zeeshan khan

C. Muhammad Hamza
D. Ruman Ahmed",B. Ahsan Ayaz
How many radio station are working in the country under the Pakistan Broadcasting Cooperation?,"A. 28
B. 30
C. 32",D. 34
Who is the Current Chairman of Parliamentary Panel on CPEC?,"A. Mehnaz akbar aziz
B. Sohail mehmmod

D. Aziz ahmed chaudary",C. Sher ali arbab
Pakistani Renowned Urdu writer and Scholar Jamil Jalibi died on__________?,"A. 10 April 2019
B. 14 April 2019
C. 16 April 2019",D. 18 April 2019
When Imran khan inaugurated Housing Scheme in Islamabad?,"A. 16th April 2019

C. 18th April 2019
D. None of these",B. 17th April 2019
KP cabinet recently approved __________ police stations for tribal districts?,"A. 21
B. 22
C. 23",D. 25
"Recently, The Federal Govt. Of Pakistan launched Campaign “To make smoke free city” in which city of Pakistan?","A. Karachi
B. Lahore

D. Peshawar",C. Islamabad
The Pakistan Air Force (PAF) successfully test-fired indigenously developed extended range ‘smart weapon’ from _______ multi-role fighter aircraft in March 2019,"A. General Dynamics F-16 Fighting Falcon

C. Dassault Mirage III
D. PAC MFI-17 Mushshak",B. CAC/PAC JF-17 Thunder
Two cities of Pakistan mentioned in Green peace report in top 10 most polluted cities in the world are_________?,"A. Karachi and Lahore

C. Karachi and Multan
D. Lahore and Gujranwala",B. Lahore and Faisalabad
The Renowned Sindhi Philosopher shot and died in USA in March 2019 was__________?,"B. Imtiaz Mallah
C. Mushtaque Bhutto
D. Zulfiqar Bhutto",A. Jawaid Bhutto
Who is the Current Chairman of Pakistan Banks’ Association?,"B. Aftab Manzoor
C. Arif Habib
D. None of the Above",A. Muhammad Aurangzaib
Who is the current Deputy Speaker of the legislative assembly of Azad Jammu and Kashmir?,"A. Sardar Farooq Ahmed Tahir
B. Shah Ghulam Qadir

D. None of the Above",C. Sardar Amer Altaf
"When the current government assumed the office, Pakistan was ranked at________in the ease of doing business?","A. 137

C. 153
D. 165",B. 147
What was  the rank of Pakistan in the ease of doing business in 2018?,"116 among 190
125 among 190

147 among 190",136 among 190
Govt Reduces Corporate Taxes From 47 to Just_____________ in January 2019.,"A. 11

C. 21
D. 24",B. 16
"on 31st January 2019, Pakistan protests summoning of High commissioner to Delhi over?","A. Chenab Basin project

C. Imran Khan’s speech
D. LOC voilations",B. Quraishi-Mirwaiz phone call
_______ has been titled the “Mountain Princes” by Pakistan’s mountaineering community?,"A. Samina Baig

C. Uzma Shah
D. None of These",B. Selena Khawaja
The Senate Committee on Human Rights passed the draft bill on January-30-2019 raising the minimum age of marriage to_________ years in Pakistan?,"A. 17

C. 20
D. None of these",B. 18
Name the first Sikh Officer who has been assigned charge of Public Relations Officer to the Punjab Governor first time in history ?,"B. Jagjeet Singh
C. Ajeet Singh
D. None of the Above",A. Pawan Singh Arora
Saudi Arabia will establish oil refinery at Gawadar at the cost of_____________?,"A. $8 Billion
B. $9 Billion

D. $11 Billion",C. $10 Billion
Indus water Jeep Race held in January 2019 at which city of Pakistan?,"A. Hub
B. Jhal Magsi

D. None of the Above",C. Swabi
How many times Sardar fathe mohammad Buzdar served Punjab Assembly?,"A. One time
B. Two time

D. None of these",C. Three time
Sardar fathe mohammad Buzdar died on_____________?,"A. 29 March, 2019
B. 30 march, 2019

D. None of these","C. 1 April, 2019"
PPP Chairman Bilawal Bhutto Zardari inaugurated Tharcoal power project on____________?,"B. 9th April 2019
C. 8th April 2019
D. 7th April 2019",A. 10th April 2019
Who has become First women principal at K-P police training centre?,"A. Shehzadi Gilani

C. Haleema Saeed
D. None of these",B. Sonia shamroz
Radio Pakistan wins which position in World Radio Contest 2019 ?,"B. 2nd
C. 3rd
D. 4th",A. 1st
Total installed capacity of Quaid-e-Azam Solar Park Bahawalpur will be___________?,"A. 300 Mega Watt
B. 600 Mega Watt

D. 1200 Mega watt",C. 1000 Mega Watt
"For how many days the special powers of the Pakistan Rangers have been extended by Sindh Government in Karachi on 5th April, 2019?","A. 60
B. 70
C. 80",D. 90
Facebook and Pakistan’s Ministry of Information Technology  launched the first Facebook Innovation Lab in Pakistan on____________?,"A. 04 April 2019
B. 02 April 2019

D. 01 April 2019",C. 03 April 2019
Who nominates chief justice of Pakistan?,"A. Prime Minister

C. Chief election commissioner
D. Chairman of Senate",B. President
Which of following book is recently launched by Senator Rehman Malik?,"A. God’s own land

C. Our Country Pakistan
D. None of these",B. Modi’s War Doctrine
The report that has contradicted India’s claim of shooting down and F-16 fighter jet of Pakistan during a dogfight was published in:,"A. Foreign Affairs magazine

C. The Atlantic magazine
D. The Economist magazine",B. Foreign policy magazine
After how many years of its establishment PTI won elections.,"A. 19
B. 20
C. 21",D. 22
Pakistan opens first International Information Tourists Corner in __________ ?,"A. Rome (Italy)
B. Bulgaria (Sofia)

D. Germany (Berlin)",C. Brussels (Belgium)
Total tournament sixes were hit in PSL 2019?,"A. 375
B. 376

D. 378",C. 377
Which of the following telecommunication network won Best 4G services in Pakistan award at the 3rd Consumers IT & Telecom Conference on 30 March 2019?,"A. Mobilink

C. Ufone
D. None of these",B. Zong
WHY Ex-CJP Tassaduq Hussain Jillani receives Justice Excellence Award in 2019?,"A. On modus vivedi decision over the protection of minorities church attack in 2013
B. on De Facto decision over the protection of minorities church attack in 2013

D. Non of these",C. On a suo moto decision over the protection of minorities church attack in 2013
Former chief justice of pakistan Tassaduq Hussain Jillani receive international justice Excellence Award on__________?,"A. March 26, 2019
B. March 27, 2019

D. March 29, 2019","C. March 28, 2019"
Bilawal Bhutto Zardari launched train march ‘Karawan-e-Bhutto’ against PTI govt on____________?,"A. 25 March 2019

C. 27 March 2019
D. None Of These",B. 26 March 2019
"Which of the following Chinese cities were declared as sister cities to Karachi, Gwadar, and Multan on 29 March 2019?","A. Urumqi
B. Puyang
C. Xi’an

E. None of these",D. All of these
Pakistan has received __________ billion loan from China on 25 march 2019?,"A. $2 Billion
B. $2.7 Billion
C. $5.1 Billion",D. $2.2 Billion
In which tribal district of Pakistan 3G service has been launched on 25th March 2019?,"A. Orakzai

C. Kurram
D. None of these",B. Bajaur
According to Economist Intelligence Unit (EIU) 2019 report;  which of the following Pakistani city is among the top 10 cheapest cities in globe?,"A. Islamabad
B. Turbat

D. Lahore",C. Karachi
Famed singer Shahnaz Begum who sang ‘Sohni Dharti Allah Rakhe’ and ‘Jeevay Jeevay Pakistan’ died in _____ at the age______ on 23 March 2019?,"A. Afghanistan, 63
B. United Kindom, 65
C. Pakistan, 66","D. Bangladesh, 67"
Pakistanis celebrated its _____ Pakistan Day on 23rd March 2019?,"B. 80th
C. 81st
D. None of above",A. 79th
Which award was conferred by President Arif Alvi to Pakistani Christchurch Hero Naeem Rashid?,"A. Hilal-E-Shujat
B. Sitara-E-Shujat

D. Tamgha-E-Shujat",C. Nishan-E-Shujat
Which award was conferred by President Arif Alvi to Pakistani actress Mehwish Hayat?,"A. Sitara-e-Quaid-e-Azam

C. Tamgha-e-Shuja’at
D. Tamgha-e-Pakistan",B. Tamgha-e-Imtiaz
"How many (MoUs) were signed b/w Pakistani and Malaysian firms for joint venture in IT, telecommunication and car manufacturing?","A. 3 MoUs

C. 8 MoUs
D. 11 MoUs",B. 6 MoUs
The government has issued a list of_____ Individual who has conferred civil awards on March 23 for showing excellence in their respective fields:,"A. 126

C. 128
D. None Of These",B. 127
Which US Newspaper named Imran Khan on list for Peace Prize?,"A. New York Times
B. USA Today

D. Washington Post",C. Christian Science Monitor
Malaysian Prime Minister Mahathir Mohamad arrived in Islamabad for three-day official visit to Pakistan on_________?,"B. 23 March, 2019
C. 22 March, 2019
D. 27 March, 2019","A. 21 March, 2019"
In which year SUPARCO has plans on sending its first astronaut into space?,"A. 2020

C. 2023
D. 2024",B. 2022
Who has been appointed as Director General Monitoring Cell in Supreme Court on march 2019?,"A. Syed Abu Ahmad Akif
B. Fawad Hassan Fawad
C. Muhammad Abu Bakar",D. Sohail Nasir
How much MW electricity the Engro Powergen Thar Limited’s (EPTL) has started pumping into the national grid on 19 march 2019?,"A. 300 MW

C. 600 MW
D. 660 MW",B. 330 MW
Which team of 4th PSL won the final trophy of 2019 in Karachi?,"A. Islamabad United

C. Peshawar Zalmi
D. Noneof these",B. Quetta Gladiator
Final match of PSL-4 (2019) was played in___________?,"B. Lahore
C. Dubai
D. None of these",A. Karachi
Which player was the Man of the Match in PSL-4 final?,"B. Luke Ronchi
C. Hasan Ali
D. Shane Watson",A. Muhammad Husnain
Who was awarded as the “best bowler” of PSL-4?,"A. Muhammad Husnain

V. Luke Ronchi
D. Kieron Pollard",B. Hasan Ali
Who was awarded as the “Best Batsman” of PSL-4?,"A. Muhammad Husnain

C. Kieron Pollard
D. Sarfaraz Ahmed",B. Shane Watson
Who was awarded as the “Player of tournament” of PSL-4?,"A. Muhammad Husnain

C. Kieron Pollard
D. Sarfaraz Ahmed",B. Shane Watson
The Pakistan Super League 2019 won by___________?,"A. Peshawar Zalmi
B. Karachi Kings

D. Islamabad United",C. Quetta Gladiators
PM Imran Khan launches online visa facility for 175 countries on ____________ ?,"A. March 12, 2019
B. March 13, 2019

D. March 15, 2019
E. None of the above","C. March 14, 2019"
